"","lat","lon","species"
"778",37.04609,-25.0574,"Boops boops"
"779",42.66298,9.40255,"Boops boops"
"780",42.65563,9.52396,"Boops boops"
"781",38.24,-0.54,"Boops boops"
"782",38.28,0.22,"Boops boops"
"783",38.66,1.06,"Boops boops"
"784",39.56,0.24,"Boops boops"
"785",39.43,0.008,"Boops boops"
"786",39.16,0.12,"Boops boops"
"787",38.95,0.12,"Boops boops"
"789",40.18,0.75,"Boops boops"
"790",40.35,0.82,"Boops boops"
"793",39.89,0.47,"Boops boops"
"797",39.56,0.01,"Boops boops"
"798",39.36,0.09,"Boops boops"
"800",40.03,0.97,"Boops boops"
"801",39.41,0.02,"Boops boops"
"802",39.33,0.11,"Boops boops"
"804",40.32,0.94,"Boops boops"
"805",38.12,0.53,"Boops boops"
"807",38.69,0.29,"Boops boops"
"808",38.62,0.26,"Boops boops"
"809",38.64,0.39,"Boops boops"
"814",39.86,0.72,"Boops boops"
"815",38.32,-0.42,"Boops boops"
"816",37.85,-0.75,"Boops boops"
"817",38.17,-0.51,"Boops boops"
"818",39.64,-0.2,"Boops boops"
"821",38.66,0.09,"Boops boops"
"826",38.83,0.13,"Boops boops"
"831",37.84,-0.73,"Boops boops"
"832",37.95,-0.68,"Boops boops"
"836",38.17,-0.5,"Boops boops"
"847",38.92,-9.52,"Boops boops"
"850",-12.4833,13.3833,"Boops boops"
"851",38.45,0.23,"Boops boops"
"852",38.9,1.01,"Boops boops"
"853",38.53,0.01,"Boops boops"
"855",38.09,0.2,"Boops boops"
"856",39.27,0.17,"Boops boops"
"857",37.92,0.57,"Boops boops"
"858",38,0.56,"Boops boops"
"861",38.26,0.37,"Boops boops"
"862",37.9,0.46,"Boops boops"
"865",40.09,0.92,"Boops boops"
"868",38.35,0.03,"Boops boops"
"871",38.03,0.3,"Boops boops"
"873",40.11,0.29,"Boops boops"
"874",38.67,0.23,"Boops boops"
"875",40.29,0.61,"Boops boops"
"876",39.86,0.31,"Boops boops"
"877",39.91,0.13,"Boops boops"
"878",38.94,0.12,"Boops boops"
"879",40.09,0.33,"Boops boops"
"880",40.51,0.95,"Boops boops"
"881",40.35,0.8,"Boops boops"
"882",39.8,0.08,"Boops boops"
"883",39.1,0.09,"Boops boops"
"885",40.03,0.5,"Boops boops"
"886",40.35,0.53,"Boops boops"
"891",39.56,-9.37,"Boops boops"
"899",39.58,0.002,"Boops boops"
"900",40.4,1.03,"Boops boops"
"901",40.36,0.54,"Boops boops"
"903",38.77,0.23,"Boops boops"
"904",39.61,0.08,"Boops boops"
"906",38.16,0.14,"Boops boops"
"908",40.3,0.6,"Boops boops"
"910",39.35,0.09,"Boops boops"
"911",38.83,0.26,"Boops boops"
"912",37.91,0.58,"Boops boops"
"916",38.69,0.24,"Boops boops"
"918",38.08,0.16,"Boops boops"
"920",37.92,0.46,"Boops boops"
"921",38.89,1.01,"Boops boops"
"923",38.44,0.23,"Boops boops"
"924",37.99,0.46,"Boops boops"
"927",27.9947,-16.6389,"Boops boops"
"933",41.306,2.156,"Boops boops"
"944",37.91,0.46,"Boops boops"
"945",39.78,0.06,"Boops boops"
"946",39.83,0.69,"Boops boops"
"947",39.26,0.17,"Boops boops"
"949",37.99,0.47,"Boops boops"
"950",44.5,2.067,"Boops boops"
"952",38.54,0.03,"Boops boops"
"953",40.31,0.59,"Boops boops"
"954",39.95,0.07,"Boops boops"
"955",40.18,0.72,"Boops boops"
"957",39.86,0.3,"Boops boops"
"959",40.04,0.57,"Boops boops"
"960",38.8,0.23,"Boops boops"
"961",38.7,0.23,"Boops boops"
"962",40.08,0.26,"Boops boops"
"963",39.9,0.12,"Boops boops"
"964",39.2,0.08,"Boops boops"
"967",40.35,0.54,"Boops boops"
"969",38.017,0.017,"Boops boops"
"971",41.267,24.9,"Boops boops"
"976",52.272128,-10.146959,"Boops boops"
"979",39.04863,-28.10073,"Boops boops"
"980",38.6435,-27.26717,"Boops boops"
"981",38.68856,-28.0607,"Boops boops"
"982",39.09856,-28.06103,"Boops boops"
"983",38.51495,-28.65457,"Boops boops"
"984",39.11648,-28.07287,"Boops boops"
"986",-12.43,13.43,"Boops boops"
"987",-12.433333,13.433333,"Boops boops"
"988",38.6,0.26,"Boops boops"
"989",38.86,1.02,"Boops boops"
"990",38.63,0.38,"Boops boops"
"991",37.84,0.39,"Boops boops"
"992",38.01,0.47,"Boops boops"
"994",38.29,0.37,"Boops boops"
"995",39.36,0.15,"Boops boops"
"996",38.74,0.24,"Boops boops"
"998",38.66,0.24,"Boops boops"
"999",37.94,0.57,"Boops boops"
"1000",38.61,0.33,"Boops boops"
"1003",40.02,0.99,"Boops boops"
"1004",40.02,0.56,"Boops boops"
"1005",39.11,0.1,"Boops boops"
"1007",40.33,0.95,"Boops boops"
"1009",39.11,0.09,"Boops boops"
"1010",39.27,0.14,"Boops boops"
"1011",38.82,0.2,"Boops boops"
"1018",40.18,0.76,"Boops boops"
"1019",38.92,0.13,"Boops boops"
"1020",40.28,1.11,"Boops boops"
"1024",40,0.86,"Boops boops"
"1033",-10.033334,12.9,"Boops boops"
"1034",-12.4,13.366667,"Boops boops"
